specID	specName	source	spellID	name	passive	selected	charges	cooldownMS	rechargeMS	overrideSpellID	description	origin
102	Balance	talent	102401	Wild Charge	false			15000			Fly to a nearby ally's position.	sweep
102	Balance	talent	252216	Tiger Dash	false			45000			Shift into Cat Form and increase your movement speed by 200%, reducing gradually over 5 sec.	sweep
102	Balance	talent	1822	Rake	false			0			Rake the target for 743 Bleed damage and an additional 4,423 Bleed damage over 15 sec. |cFFFFFFFFAwards 1 combo point.|r	sweep
102	Balance	talent	194153	Starfire	false			0			Call down a burst of energy, causing 431 Arcane damage to the target, and 294 Arcane damage to all other enemies within 10 yards. Deals reduced damage beyond 8 targets. |cFFFFFFFFGenerates 8 Astral Power.|r	sweep
102	Balance	talent	78674	Starsurge	false			0			Launch a surge of stellar energies at the target, dealing 1,464 Astral damage.	sweep
102	Balance	talent	48438	Wild Growth	false			10000			Heals up to 5 injured allies within 30 yards of the target for 1,277 over 7 sec. Healing starts high and declines over the duration.	sweep
102	Balance	talent	377796	Natural Recovery	true			0			Healing you receive is increased by 4%.	sweep
102	Balance	talent	102359	Mass Entanglement	false			30000			Roots the target and all enemies within 12 yards in place for 10 sec. Damage may interrupt the effect. Usable in all shapeshift forms.	sweep
102	Balance	talent	102793	Ursol's Vortex	false			60000			Conjures a vortex of wind for 10 sec at the destination, reducing the movement speed of all enemies within 8 yards by 50%. The first time an enemy attempts to leave the vortex, winds will pull that enemy back to its center. Usable in all shapeshift forms.	sweep
102	Balance	talent	24858	Moonkin Form	false			0			Shapeshift into Moonkin Form, increasing the damage of your spells by 10% and your armor by 125%, and granting protection from Polymorph effects. The act of shapeshifting frees you from movement impairing effects.	sweep
102	Balance	talent	132469	Typhoon	false			30000			Blasts targets within 15 yards in front of you with a violent Typhoon, knocking them back and reducing their movement speed by 50% for 6 sec. Usable in all shapeshift forms.	sweep
102	Balance	talent	197524	Astral Influence	true			0			Increases the range of all of your spells by 5 yards.	sweep
102	Balance	talent	2637	Hibernate	false			0			Forces the enemy target to sleep for up to 40 sec. Any damage will awaken the target. Only one target can be forced to hibernate at a time. Only works on Beasts and Dragonkin.	sweep
