specID	specName	source	spellID	name	passive	selected	charges	cooldownMS	rechargeMS	overrideSpellID	description	origin
270	Mistweaver	talent	388874	Improved Detox	true			0			Detox additionally removes all Poison and Disease effects.	sweep
270	Mistweaver	talent	388551	Uplifted Spirits	true			0			The cooldown of Revival is reduced by 30 sec and Revival healing increased by 15%.	sweep
270	Mistweaver	talent	197900	Mist Wrap	true			0			Increases Enveloping Mist's duration by 1 sec and its healing bonus by 10%.	sweep
270	Mistweaver	talent	388511	Overflowing Mists	true			0			Your Enveloping Mists heal the target for 2,550 each time they take direct damage.	sweep
270	Mistweaver	talent	388218	Calming Coalescence	true			0			The absorb amount of Life Cocoon is increased by 80%.	sweep
270	Mistweaver	talent	467270	Refreshment	true			0			Life Cocoon grants up to 5 stacks of Mana Tea and applies 2 stacks of Healing Elixir to its target.	sweep
270	Mistweaver	talent	116849	Life Cocoon	false		1	750	120000		Encases the target in a cocoon of Chi energy for 12 sec, absorbing 206,164 damage and increasing all healing over time received by 50%.	sweep
270	Mistweaver	talent	446260	Crane Style	true			0			Rising Sun Kick now kicks up a Gust of Mist to heal 2 allies within 40 yds for 0.  Spinning Crane Kick and Blackout Kick have a chance to kick up a Gust of Mist to heal 1 ally within 40 yds for 0. 	sweep
270	Mistweaver	talent	202424	Chrysalis	true			0			Reduces the cooldown of Life Cocoon by 45 sec.	sweep
270	Mistweaver	talent	399226	Burst of Life	true			0			When Life Cocoon expires, it releases a burst of mist that restores 3,425 health to 3 nearby allies.	sweep
270	Mistweaver	talent	388548	Mists of Life	true			0			Life Cocoon applies Renewing Mist and Enveloping Mist to the target. 	sweep
270	Mistweaver	talent	388038	Yu'lon's Whisper	true			0			While channeling Mana Tea you exhale the breath of Yu'lon, healing up to 5 allies within 15 yards for 387 every 0.4 sec.	sweep
270	Mistweaver	talent	1268807	Emperor's Elixir	true			0			Thunder Focus Tea now empowers Enveloping Mist and Rising Sun Kick further. |T775461:24|t |cffffffffEnveloping Mist|r: Begins a channel of Soothing Mist onto your target. |T642415:24|t |cffffffffRising Sun Kick|r: Releases a Jadefire Stomp infront of you that transfers damage into Ancient Teachings at 20% effectiveness. |T6035313:24|t |cffffffffJadefire Stomp|r: You release a Jadefire Stomp, dealing 2,552 damage to 5 enemies in front of you. 	sweep
270	Mistweaver	talent	467293	Jadefire Teachings	true			0			Ancient Teachings transfers an additional 270% damage to healing. Your Stamina is increased by 8%.	sweep
270	Mistweaver	talent	467307	Rushing Wind Kick	false			10000			Kick up a powerful gust of wind, dealing 4,588 Nature damage in a 25 yd cone to enemies in front of you, split evenly among them. Damage is increased by 6% for each target hit, up to 30%. 	sweep
270	Mistweaver	talent	1271431	Amplified Rush	true			0			The healing of Gusts of Mist caused by Renewing Mist is increased by 100%. 	sweep
270	Mistweaver	talent	1243155	Way of the Serpent	true			0			Vivify healing increased by 15% and Renewing Mist's healing is increased by 30%.	sweep
270	Mistweaver	talent	388779	Way of the Crane	true			0			Tiger Palms strike twice, Blackout Kicks strike an additional 2 targets at 20% effectiveness, and Spinning Crane Kick heals 1 nearby allies for 340% of the damage done.	sweep
270	Mistweaver	talent	438439	Dance of Chi-Ji	true			0			Your spells and abilities have a chance to make your next Spinning Crane Kick deal an additional 400% damage.	sweep
270	Mistweaver	talent	1268817	Misty Coalescence	true			0			Renewing Mist healing is increased by up to 300% in proportion to its coverage on yourself and your allies.	sweep
270	Mistweaver	talent	446326	Zen Pulse	true			0			Renewing Mist's heal over time has a chance to cause your next Vivify to also trigger a Zen Pulse on its target and all allies with Renewing Mist, healing them for 680 increased by 6% per Renewing Mist active, up to 30%.	sweep
270	Mistweaver	talent	122280	Healing Elixir	true			0			You consume a healing elixir when you drop below 40% health or generate excess healing elixirs, instantly healing you for 15% of your maximum health. You generate 1 healing elixir every 30 sec, stacking up to 2 times.	sweep
270	Mistweaver	talent	274586	Invigorating Mists	true			0			Vivify heals all allies with your Renewing Mist active for 1,373. Sheilun's Gift's healing is increased by 500% on its primary target.	sweep
270	Mistweaver	talent	388847	Rapid Diffusion	true			0			Rising Sun Kick and Enveloping Mist apply Renewing Mist for 6 seconds to an ally within 40 yds.	sweep
270	Mistweaver	talent	388701	Dancing Mists	true			0			Renewing Mist has a 8% chance to immediately spread to an additional target when initially cast or when traveling to a new target.	sweep
270	Mistweaver	talent	388031	Jade Bond	true			0			Chi Cocoons now apply Enveloping Mist for 4 sec when they expire or are consumed, and Chi-Ji's Gusts of Mists healing is increased by 20% and Yu'lon's Soothing Breath healing is increased by 500%.	sweep
270	Mistweaver	talent	388212	Gift of the Celestials	true			0			Reduces the cooldown of Invoke Yul'on, the Jade Serpent by 1 min, but decreases its duration to 12 sec. 	sweep
270	Mistweaver	talent	388682	Misty Peaks	true			0			Renewing Mist's heal over time effect has a 5.0% chance to apply Enveloping Mist for 2 sec.	sweep
270	Mistweaver	talent	197895	Focused Thunder	true			0			Thunder Focus Tea now empowers your next 2 spells.	sweep
270	Mistweaver	talent	388593	Peaceful Mending	true			0			Allies targeted by Soothing Mist receive 40% more healing from your Enveloping Mist and Renewing Mist effects.	sweep
