specID	specName	source	spellID	name	passive	selected	charges	cooldownMS	rechargeMS	overrideSpellID	description	origin
66	Protection	talent	53595	Hammer of the Righteous	false		2	0	5000		Hammers the current target for 3,829 Physical damage. |cFFFFFFFFGenerates 1 Holy Power.	sweep
66	Protection	talent	204019	Blessed Hammer	false		3	0	5000		Throws a Blessed Hammer that spirals outward, dealing 638 Holy damage to enemies and reducing the next damage they deal to you by 761. |cFFFFFFFFGenerates 1 Holy Power.	sweep
66	Protection	talent	1245354	Vision of Sanctity	true			0			Consecration deals 100% increased damage when it strikes a single target.	sweep
66	Protection	talent	391142	Zealot's Paragon	true			0			Hammer of Wrath and Judgment deal 10% additional damage and extend the duration of Avenging Wrath by 0.5 sec.	sweep
66	Protection	talent	378845	Focused Enmity	true			0			When Avenger's Shield strikes a single enemy, it deals 100% additional Holy damage.	sweep
66	Protection	talent	379021	Sanctuary	true			0			While in your Consecration and for 4.0 sec after leaving it, your damage taken is reduced by 5%.	sweep
66	Protection	talent	378285	Tyr's Enforcer	true			0			Your Avenger's Shield is imbued with holy fire, causing it to deal 306 Holy damage to all enemies within 5 yards of each target hit.	sweep
66	Protection	talent	315924	Hand of the Protector	true			0			When you cast Word of Glory on someone other than yourself, its healing is increased by up to 100% based on the target's missing health.	sweep
66	Protection	talent	1245979	Valiant Crusade	true			0			While out of combat, Divine Steed grants Shield of the Righteous for its duration and an additional 4.0 sec after it fades.	sweep
66	Protection	talent	204074	Righteous Protector	true			0			Avenging Wrath and Sentinel have 50% reduced cooldown and 40% reduced duration.	sweep
66	Protection	talent	386738	Divine Resonance	true			0			After casting Holy Prism, Holy Armament, or Divine Toll, you instantly cast Holy Shock every 5 sec for 15 sec.	sweep
66	Protection	talent	379391	Quickened Invocation	true			0			Divine Toll's, Holy Armament's, and Holy Prism's cooldown is reduced by 15 sec.	sweep
66	Protection	talent	31850	Ardent Defender	false			90000			Reduces all damage you take by 30% for 12 sec. While Ardent Defender is active, the next attack that would otherwise kill you will instead bring you to 20% of your maximum health.	sweep
66	Protection	talent	378762	Ferren Marcus's Fervor	true			0			Avenger's Shield deals 10% increased damage to its primary target.	sweep
66	Protection	talent	31884	Avenging Wrath	false			120000			Call upon the Light to become an avatar of retribution, increasing your damage, healing, and critical strike chance by 20% for 20 sec.	sweep
66	Protection	talent	389539	Sentinel	false			120000			Call upon the Light and gain 15 stacks of Divine Resolve, increasing your maximum health by 1% and reducing your damage taken by 2% per stack for 20 sec. After 5.0 sec, you will begin to lose 1 stack per second, but each 3 Holy Power spent will delay the loss of your next stack by 1 sec. Combines with Avenging Wrath.	sweep
66	Protection	talent	378279	Gift of the Golden Val'kyr	true			0			Each enemy hit by Avenger's Shield reduces the remaining cooldown on Guardian of Ancient Kings by 1.0 sec. When you drop below 30% health, you become infused with Guardian of Ancient Kings for 4 sec. This cannot occur again for 45 sec.	sweep
66	Protection	talent	379022	Consecration in Flame	true			0			Consecration lasts 2 sec longer and its damage is increased by 20%.	sweep
66	Protection	talent	469883	Refining Fire	true			0			Enemies struck by Avenger's Shield burn with holy fire, suffering 100% additional Radiant damage over 5 sec.	sweep
66	Protection	talent	85043	Grand Crusader	true			0			When you avoid a melee attack or use Crusader Strike, you have a 15% chance to reset the remaining cooldown on Avenger's Shield.	sweep
66	Protection	talent	1277162	Instrument of the Divine	true			0			Shield of the Righteous consumes up to 2 more Holy Power and deals 50% increased damage for each additional Holy Power consumed.	sweep
66	Protection	talent	321136	Shining Light	true			0			Every 3 Shields of the Righteous make your next Word of Glory cost no Holy Power. Maximum 2 stacks.	sweep
66	Protection	talent	86659	Guardian of Ancient Kings	false		1	0	180000		Empowers you with the spirit of ancient kings, reducing all damage you take by 50% for 8 sec.	sweep
66	Protection	talent	386653	Bulwark of Righteous Fury	true			0			Avenger's Shield increases the damage of your next Shield of the Righteous by 20% for each target hit by Avenger's Shield, stacking up to 5 times, and increases its radius by 6 yds.	sweep
66	Protection	talent	1244019	Undying Embers	true			0			You are healed for 100% of the damage dealt by Refining Fire.	sweep
66	Protection	talent	393071	Strength in Adversity	true			0			For each target hit by Avenger's Shield, gain 3% parry for 15 sec.	sweep
66	Protection	talent	380188	Crusader's Resolve	true			0			Enemies hit by Avenger's Shield deal 10% reduced melee damage to you for 10 sec. 	sweep
66	Protection	talent	1276945	Imbued Shield	true			0			Shield of the Righteous reduces magical damage taken by 12%.	sweep
66	Protection	talent	280373	Redoubt	true			0			Armor granted by Shield of the Righteous is increased by up to 60%, based on your missing health.	sweep
66	Protection	talent	406101	Faith's Armor	true			0			Word of Glory grants 20% bonus armor for 4.5 sec.	sweep
66	Protection	talent	1246481	Empyrean Authority	true			0			Guardian of Ancient Kings has 1 additional charge.	sweep
66	Protection	talent	384815	Seal of Charity	true			0			When you cast Word of Glory on someone other than yourself, you are also healed for 100% of the amount healed.	sweep
66	Protection	talent	209389	Bulwark of Order	true			0			Avenger's Shield also shields you for 8 sec, absorbing 60% as much damage as it dealt, up to 50% of your maximum health.	sweep
66	Protection	talent	378425	Uther's Counsel	true			0			Your Lay on Hands, Divine Shield, Blessing of Protection, and Blessing of Spellwarding have 15% reduced cooldown.	sweep
66	Protection	talent	1244070	Searing Sunlight	true			0			Casting Avenger's Shield causes Consecration to deal its damage and healing again immediately at 100% effectiveness.	sweep
66	Protection	talent	31935	Avenger's Shield	false			15000			Hurls your shield at an enemy target, dealing 3,956 Holy damage, interrupting and silencing the non-Player target for 3 sec, and then jumping to 2 additional nearby enemies.  	sweep
66	Protection	talent	378405	Light of the Titans	true			0			Word of Glory heals for an additional 40% over 10 sec. Increased by 200% if cast on yourself while you are afflicted by a harmful damage over time effect.	sweep
66	Protection	talent	392928	Tirion's Devotion	true			0			Lay on Hands' cooldown is reduced by 1.0 sec per Holy Power spent.	sweep
66	Protection	talent	204077	Final Stand	true			0			During Divine Shield, all targets within 15 yds are taunted.	sweep
66	Protection	talent	1246488	Sweeping Verdict	true			0			Judgment chains to 2 additional targets at 50% effectiveness.	sweep
66	Protection	talent	1277005	Adjudication	true			0			Judgment causes its primary target's successful melee attacks against you to grant a Physical absorb shield for 20% of the damage dealt. Limit 1.	sweep
66	Protection	talent	383388	Relentless Inquisitor	true			0			Your haste is increased by 5%.	sweep
66	Protection	talent	213644	Cleanse Toxins	false		1	8000	8000		Cleanses a friendly target, removing all Poison and Disease effects.	sweep
66	Protection	talent	1241288	Hammer of Wrath	true			0			During Avenging Wrath, Judgment is empowered into Hammer of Wrath. |T7439209:24|t |cffffffffHammer of Wrath|r Hurls a divine hammer that strikes an enemy for 3,158 Holy damage. |cFFFFFFFFGenerates 1 Holy Power.	sweep
66	Protection	talent	204054	Consecrated Ground	true			0			Your Consecration is 15% larger, and enemies within it have 50% reduced movement speed.	sweep
66	Protection	talent	633	Lay on Hands	false			600000			Heals a friendly target for an amount equal to 100% your maximum health. Cannot be used on a target with Forbearance. Causes Forbearance for 30 sec.	sweep
66	Protection	talent	115750	Blinding Light	false			90000			Emits dazzling light in all directions, blinding enemies within 10 yds, causing them to wander disoriented for 6 sec. Damage may cancel the effect.	sweep
