specID	specName	source	spellID	name	passive	selected	charges	cooldownMS	rechargeMS	overrideSpellID	description	origin
258	Shadow	talent	373280	Idol of N'Zoth	true			0			You create Horrific Visions when casting harmful spells on enemies. At 50 stacks of Horrific Visions, your target sees a nightmare, dealing 772 Shadow damage and granting you 4 Insanity over 3 sec. At 100 stacks, your target witnesses a vision of N'Zoth, dealing 2,925 Shadow damage and granting you 12 Insanity over 3 sec.	sweep
258	Shadow	talent	373310	Idol of Y'Shaarj	true			0			While Shadowfiend, Mindbender, or Voidwraith are active, your haste is increased by 10%.	sweep
258	Shadow	talent	373273	Idol of Yogg-Saron	true			0			After conjuring Shadowy Apparitions, gain a stack of Idol of Yogg-Saron. At 20 stacks, you summon a Thing from Beyond that casts Void Spike at nearby enemies for 20 sec. |T457655:24|t |cffffffffVoid Spike|r Hurls a bolt of dark magic, dealing 398 Shadow damage and 211 Shadow damage to all enemies within 10 yards of the target. Damage reduced beyond 5 targets.	sweep
258	Shadow	talent	10060	Power Infusion	false			120000			Infuses the target with power for 15 sec, increasing haste by 20%. Can only be cast on players.	sweep
258	Shadow	talent	392507	Deathspeaker	true			0			Shadow Word: Death damage increased by 25%. Shadow Word: Death gains its damage and talent bonuses against targets below 35% health instead of 20%.	sweep
258	Shadow	talent	321291	Death and Madness	true			0			If a target dies within 7 sec after being struck by Shadow Word: Death, generate 8 Insanity. When Shadow Word: Death fails to kill a target below 20% health, its cooldown is reset. Cannot occur more than once every 10 sec.	sweep
258	Shadow	talent	1228516	Subservient Shadows	true			0			Summoned minions last 20% longer and deal an additional 15% damage.	sweep
258	Shadow	talent	373212	Insidious Ire	true			0			While you have Shadow Word: Pain, Shadow Word: Madness, and Vampiric Touch active on the same target, your Mind Blast, Void Torrent, Mind Flay, and Void Volley deal 20% more damage. 	sweep
258	Shadow	talent	407469	Spectral Horrors	true			0			Shadow Apparitions deal 30% increased damage to targets affected by your Shadow Word: Madness.	sweep
258	Shadow	talent	377349	Idol of C'Thun	true			0			Mind Flay has a chance to spawn a Void Tendril that channels Mind Flay or Void Lasher that channels Mind Sear at your target. |T136208:24|t |cffffffffMind Flay|r Assaults the target's mind with Shadow energy, causing 1,366 Shadow damage over 10 sec and slowing their movement speed by 30%. |cFFFFFFFFGenerates 5 Insanity over the duration.|r |T237565:24|t |cffffffffMind Sear|r Corrosive shadow energy radiates from the target, dealing 911 Shadow damage over 10 sec to all enemies within 10 yards of the target. Damage reduced beyond 5 targets. |cFFFFFFFFGenerates 5 Insanity over the duration.|r	sweep
258	Shadow	talent	373427	Inescapable Torment	true			0			Mind Blast and Shadow Word: Death cause your Shadowfiend, Mindbender, and Voidwraith to teleport behind your target, slashing up to 5 nearby enemies for 357 Shadow damage and extending their durations by 0.7 sec.	sweep
258	Shadow	talent	391151	Mastermind	true			0			Increases the critical strike chance of Mind Blast, Mind Flay, and Shadow Word: Death by 4% and increases their critical strike damage by 20%.	sweep
258	Shadow	talent	1242779	Phantom Menace	true			0			Increases the critical strike chance of Shadowy Apparitions by 10% and their critical strike damage by 40%.	sweep
258	Shadow	talent	407470	Mind's Eye	true			0			Reduces the Insanity cost of Shadow Word: Madness by 5.	sweep
258	Shadow	talent	409044	Distorted Reality	true			0			Increases the damage of Shadow Word: Madness by 20% and causes it to deal its damage over 12 sec, but increases its Insanity cost by 5.	sweep
258	Shadow	talent	1230339	Mindbender	true			0			Casting Voidform summons a Mindbender for 10 sec. |T136214:24|t |cffffffffMindbender|r Summons a shadowy fiend to attack your target. |cFFFFFFFFGenerates 1 Insanity each time the Mindbender attacks.|r	sweep
258	Shadow	talent	375767	Screams of the Void	true			0			Shadow Word: Madness causes your Shadow Word: Pain and Vampiric Touch to deal damage 40% faster on all targets for 3 sec.	sweep
258	Shadow	talent	341491	Shadowy Apparitions	true			0			Shadow Word: Madness conjures Shadowy Apparitions that float towards all targets afflicted by your Vampiric Touch for 361 Shadow damage.	sweep
258	Shadow	talent	406788	Thought Harvester	true			0			Mind Blast gains an additional charge.	sweep
258	Shadow	talent	1279353	Maddening Tentacles	true			0			Tentacle Slam afflicts your target with Shadow Word: Madness at 25% effectiveness.	sweep
258	Shadow	talent	1279354	Crushing Void	true			0			Tentacle Slam deals 50% increased damage and Void Volley deals 15% increased damage. When Voidform ends, you can cast Void Volley 1 additional time within 30 sec.	sweep
258	Shadow	talent	341240	Improved Voidform	true			0			Voidform generates 60 Insanity and increases your spell damage by an additonal 5%.	sweep
258	Shadow	talent	1231346	Ancient Madness	true			0			Casting Shadow Word: Madness increases the duration of Voidform by 3.0 sec. Each time this occurs during Voidform, its effectiveness is reduced by 25%.	sweep
258	Shadow	talent	228260	Voidform	false			120000			Bombards your target with a Void Volley and twists your Shadowform with void magic, increasing your spell damage by 20% for 20 sec.  This spell is replaced with Void Volley while Voidform is active. |T7439213:24|t |cffffffffVoid Volley|r Releases a volley of pure void energy, firing 10 bolts at your target and 1 bolt at all enemies within 10 yards of your target for 450 Shadow damage. |cFFFFFFFFGenerates 10 Insanity.|r	sweep
258	Shadow	talent	1279355	Haunting Shadows	true			0			Shadowy Apparition damage increased by 10%. When Shadowy Apparitions deal damage, they extend the duration of your Shadow Word: Pain and Vampiric Touch on the target by 1.0 sec.	sweep
258	Shadow	talent	1250492	Tormenting Whispers	true			0			Increases Shadow Word: Madness damage by 15%.	sweep
258	Shadow	talent	1240388	Dark Thoughts	true			0			Increases the chance for Shadowy Insight to occur by 25%. When consuming Shadowy Insight, Mind Blast generates 1 additional Insanity.	sweep
258	Shadow	talent	391228	Maddening Touch	true			0			Vampiric Touch deals 20% additional damage and has a chance to generate 1 Insanity each time it deals damage.	sweep
258	Shadow	talent	199484	Psychic Link	true			0			Your direct damage spells inflict 25% of their damage on all other targets afflicted by your Vampiric Touch within 40 yards. Does not apply to damage from Shadowy Apparitions, Shadow Word: Pain, and Vampiric Touch.	sweep
258	Shadow	talent	335467	Shadow Word: Madness	false			0			A word of madness haunts the target's mind, dealing 965 Shadow damage instantly plus an additional 3,415 Shadow damage over 6 sec. Heals you for 30% of damage dealt. When reapplied to a target, all remaining damage is added to the new effect.	sweep
258	Shadow	talent	238558	Misery	true			0			Vampiric Touch also applies Shadow Word: Pain to the target. Shadow Word: Pain lasts an additional 5 sec.	sweep
258	Shadow	talent	1279350	Invoked Nightmare	true			0			Shadow Word: Pain deals 150% increased damage.	sweep
258	Shadow	talent	155271	Auspicious Spirits	true			0			Your Shadowy Apparitions deal 15% increased damage and have a chance to generate 1 Insanity.	sweep
258	Shadow	talent	391399	Surge of Insanity	true			0			Mind Flay damage increased by 15% and Insanity generation increased by 30%.	sweep
258	Shadow	talent	375888	Shadowy Insight	true			0			Shadow Word: Pain periodic damage has a chance to cause your next Mind Blast to be instant and ignore its cooldown.	sweep
258	Shadow	talent	1242666	Descending Darkness	true			0			Increases Tentacle Slam damage by 300%.	sweep
